Bank,Lånenavn,Nominell rente,Etableringsgebyr,Etableringsgebyr i %,Termingebyr,Min beløp,Maks beløp,Min alder,Maks alder,Maks løpetid (år),Belaningsgrad
SpareBank 1 Finans Midt-Norge AS,Billån Ung 18-34 kaskofritt,9.7,2700.0,0.0,95.0,30000.0,1000000000.0,18,34,5,100.0
SpareBank 1 Finans Østlandet AS,LOfavør Caravanlån inntil 80%,7.55,4599.0,0.0,95.0,50000.0,3000000.0,18,100,10,80.0
Skudenes & Aakra Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Nordmøre,Billån LO inntil 65 % finansiering,6.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,65.0
Skue Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Skue Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Tysnes Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Østlandet,LOfavør Caravanlån inntil 65%,6.55,4599.0,0.0,95.0,50000.0,3000000.0,18,100,10,65.0
SpareBank 1 Finans Østlandet AS,LOfavør Caravanlån inntil 65%,6.55,4599.0,0.0,95.0,50000.0,3000000.0,18,100,10,65.0
Spareskillingsbanken,Grønt billån 100%,8.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,100.0
NOBL (DNB),Billån egenkapital mindre enn 20 %,8.4,2300.0,0.0,65.0,0.0,1000000000.0,18,100,10,100.0
SpareBank 1 Hallingdal Valdres,Billån LO inntil 65 % finansiering,6.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,10,65.0
Grue Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Høland og Setskog Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Ringerike Hadeland,LOfavør Caravanlån inntil 65%,6.55,4599.0,0.0,95.0,50000.0,3000000.0,18,100,10,65.0
Agder Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Ringerike Hadeland,MC inntil 100%,8.85,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,100.0
SpareBank 1 Gudbrandsdal,Kaskofritt Motorsykkel lån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
SpareBank 1 Lom og Skjåk,ATV/snøscooterlån inntil 65%,7.7,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
Aurskog Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Østlandet,MC inntil 100%,8.85,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,100.0
SpareBank 1 Hallingdal Valdres,ATV/snøscooterlån inntil 65%,7.7,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
Haugesund Sparebank,Lån med annen sikkerhet,10.25,1500.0,0.2,50.0,1000.0,150000.0,18,100,5,0.0
Melhusbanken,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Søgne og Greipstad Sparebank,Grønt billån 100%,8.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,100.0
Ørskog Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Finans Midt-Norge AS,ATV/snøscooterlån inntil 65%,7.7,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
SpareBank 1 Finans Østlandet AS,MC inntil 100%,8.85,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,100.0
SpareBank 1 Finans Midt-Norge AS,Kaskofritt Motorsykkel lån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Haltdalen Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Gudbrandsdal,ATV/snøscooterlån inntil 65%,7.7,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
Vekselbanken,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Grong Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Sogn og Fjordane,Billån Ung 18-34 kaskofritt,9.7,2700.0,0.0,95.0,30000.0,1000000000.0,18,34,5,100.0
Haugesund Sparebank,Forbrukslån uten sikkerhet,15.75,1500.0,0.2,50.0,0.0,100000.0,18,100,1,0.0
SpareBank 1 Ringerike Hadeland,MC lån inntil 80%,7.85,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Hallingdal Valdres,Kaskofritt Motorsykkel lån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Aurskog Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Østlandet,MC lån inntil 80%,7.85,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Aasen Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Sunndal Sparebank,Eika Billån 20%-35% Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Orkla Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Stadsbygd Sparebank,Grønt billån  65%,6.65,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,65.0
SpareBank 1 Finans Østlandet AS,MC lån inntil 80%,7.85,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Odal Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Oslofjord Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 SMN,Billån Ung 18-34 kaskofritt,9.7,2700.0,0.0,95.0,30000.0,1000000000.0,18,34,5,100.0
Lillesands Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Soknedal Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Ringerike Hadeland,MC lån inntil 65%,6.85,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,65.0
SpareBank 1 Nordmøre,Billån Ung 18-34 kaskofritt,9.7,2700.0,0.0,95.0,30000.0,1000000000.0,18,34,5,100.0
Oslofjord Sparebank,Grønt Billån 20%-35% Egenkapital,7.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Østlandet,MC lån inntil 65%,6.85,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,65.0
Sparebank 1 Finans Nord-Norge AS,Billån ung,9.95,2990.0,0.0,95.0,20000.0,125000.0,18,34,5,100.0
Sparebanken Sør,Nedbetaling med annen sikkerhet,9.85,2500.0,0.0,65.0,5000.0,50000.0,18,100,10,100.0
Bien Sparebank ASA,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Sør-Norge,LOfavør Billån Ung med 0-20 % egenkapital,7.19,2000.0,0.0,70.0,50000.0,2000000.0,18,33,10,100.0
AS Financiering (Sparebanken Øst),Grønt billån m/ 0% egenkapital,8.1,2250.0,0.0,85.0,20000.0,10000000.0,18,100,10,100.0
SpareBank 1 Finans Midt-Norge AS,ATV/snøscooterlån inntil 100%,9.5,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
Agder Sparebank,Eika Billån 20%-35% Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Nord-Norge,Billån ung,9.95,2990.0,0.0,95.0,20000.0,125000.0,18,34,5,100.0
SpareBank 1 Sør-Norge,Caravanlån/bobillån med 35% egenkapital eller mer,6.69,2200.0,0.0,70.0,50000.0,1000000000.0,18,100,15,65.0
