Bank,Lånenavn,Nominell rente,Etableringsgebyr,Etableringsgebyr i %,Termingebyr,Min beløp,Maks beløp,Min alder,Maks alder,Maks løpetid (år),Belaningsgrad
Sparebanken DIN Telemark,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Hegra Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Sunndal Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 SMN,ATV/snøscooterlån inntil 100%,9.5,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
"Bank Norwegian, en filial av NOBA Bank Group AB (publ)",Usikret rammelån,13.99,0.0,0.0,0.0,10000.0,200000.0,23,100,5,0.0
Lillesands Sparebank,Grønt billån 100%,8.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,100.0
SpareBank 1 Østlandet,Lån til elbil inntil 65%,6.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,65.0
SpareBank 1 Finans Midt-Norge AS,ATV/snøscooterlån LO inntil 80%,8.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
Valle Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Ringerike Hadeland,Lån til elbil inntil 65%,6.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,65.0
Odal Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Oppdalsbanken,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
"Bank Norwegian, en filial av NOBA Bank Group AB (publ)",Forbrukslån - Gjennomsnitt,15.29,0.0,0.0,30.0,5000.0,600000.0,23,100,5,0.0
"Bank Norwegian, en filial av NOBA Bank Group AB (publ)",Refinansiering,12.69,0.0,0.0,30.0,5000.0,800000.0,23,100,15,0.0
Vekselbanken,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Valdres Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Finans Østlandet AS,Lån til elbil inntil 65%,6.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,65.0
Trøndelag Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Jæren Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Østlandet,Lån til elbil inntil 80%,7.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,80.0
Luster Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Ringerike Hadeland,Lån til elbil inntil 80%,7.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,80.0
Soknedal Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Luster Sparebank,Grønt billån 100%,8.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,100.0
SpareBank 1 Nordmøre,ATV/snøscooterlån LO inntil 100%,9.2,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
Berg Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Sør-Norge,LOfavør MC-lån med 0-20% egenkapital,8.19,2200.0,0.0,70.0,50000.0,1000000000.0,18,100,10,100.0
AS Financiering (Sparebanken Øst),Lån til båt over 7 meter 35% egenkapital,7.1,5000.0,0.0,95.0,100000.0,10000000.0,18,100,10,65.0
SpareBank 1 Finans Østlandet AS,Lån til elbil inntil 80%,7.75,4599.0,0.0,85.0,50000.0,1000000000.0,18,100,10,80.0
SpareBank 1 SMN,ATV/snøscooterlån inntil 80%,8.9,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
SpareBank 1 Lom og Skjåk,ATV/snøscooterlån LO inntil 100%,9.2,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
Flekkefjord Sparebank,Grønt billån 100%,8.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,100.0
Tysnes Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Ringerike Hadeland,Båt over 7 meter inntil 100%,9.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,100.0
Spareskillingsbanken,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Østlandet,Båt over 7 meter inntil 100%,9.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,100.0
Odal Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Agder Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Drangedal Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Oppdalsbanken,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Finans Østlandet AS,Båt over 7 meter inntil 100%,9.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,100.0
SpareBank 1 Finans Østlandet AS,LOfavør Grønt billån inntil 100%,8.45,1000.0,0.0,95.0,50000.0,1000000000.0,18,100,8,100.0
Luster Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Østlandet,LOfavør Grønt billån inntil 100%,8.45,1000.0,0.0,95.0,50000.0,1000000000.0,18,100,8,100.0
SpareBank 1 SMN,ATV/snøscooterlån LO inntil 100%,9.2,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
Valle Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Valdres Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 SMN,ATV/snøscooterlån LO inntil 80%,8.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
Romsdal Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Finans Østlandet AS,LOfavør Grønt billån inntil 80%,7.45,1000.0,0.0,95.0,50000.0,1000000000.0,18,100,8,80.0
SpareBank 1 Nordmøre,ATV/snøscooterlån inntil 100%,9.5,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
Sparebank 68° Nord,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
JBF Bank og Forsikring,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Østlandet,LOfavør Grønt billån inntil 80%,7.45,1000.0,0.0,95.0,50000.0,1000000000.0,18,100,8,80.0
SpareBank 1 Østlandet,LOfavør Grønt billån inntil 65%,6.45,1000.0,0.0,95.0,50000.0,1000000000.0,18,100,8,65.0
Haugesund Sparebank,Grønt billån 100%,8.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,100.0
Rogaland Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Fana Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Finans Østlandet AS,LOfavør Grønt billån inntil 65%,6.45,1000.0,0.0,95.0,50000.0,1000000000.0,18,100,8,65.0
Strømmen Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Brage Finans AS,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Oslofjord Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Ringerike Hadeland,LOfavør Båt over 7 meter inntil 65%,7.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,65.0
Sparebanken Sør,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Selbu Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Jæren Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Østlandet,LOfavør Båt over 7 meter inntil 65%,7.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,65.0
Sparebanken Vest,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Sparebanken Sør,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Hallingdal Valdres,ATV/snøscooterlån LO inntil 100%,9.2,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
Høland og Setskog Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Lom og Skjåk,ATV/snøscooterlån LO inntil 80%,8.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
Haugesund Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Finans Østlandet AS,LOfavør Båt over 7 meter inntil 65%,7.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,65.0
Sparebanken Vest,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Nordmøre,ATV/snøscooterlån LO inntil 65%,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
Romerike Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Grong Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Sparebank 68° Nord,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Østlandet,Båt over 7 meter inntil 65%,7.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,65.0
SpareBank 1 Gudbrandsdal,ATV/snøscooterlån LO inntil 80%,8.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
SpareBank 1 Finans Østlandet AS,Båt over 7 meter inntil 65%,7.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,65.0
Haugesund Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Ringerike Hadeland,Båt over 7 meter inntil 65%,7.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,65.0
SpareBank 1 Finans Midt-Norge AS,ATV/snøscooterlån LO inntil 65%,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
SpareBank 1 Østfold Akershus,LOfavør Billån inntil 80%,7.55,4599.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Ringerike Hadeland,Båt over 7 meter inntil 80%,8.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,80.0
Sparebanken DIN Telemark,Grønt billån 100%,8.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,100.0
Voss Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Gudbrandsdal,ATV/snøscooterlån LO inntil 100%,9.2,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,100.0
Drangedal Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Vekselbanken,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Østlandet,Båt over 7 meter inntil 80%,8.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,80.0
Skudenes & Aakra Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Sogn Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Nidaros Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Birkenes Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Finans Østlandet AS,Båt over 7 meter inntil 80%,8.35,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,80.0
Sparebanken Sør,Forbrukslån,15.0,2500.0,0.0,65.0,5000.0,500000.0,18,100,5,0.0
Luster Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Nordmøre,Kaskofritt Caravanlån/Bobillån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
SpareBank 1 Østlandet,Båt under 7 meter inntil 100%,11.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,100.0
Soknedal Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Nidaros Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Askim og Spydeberg Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Berg Sparebank,Eika Billån 20%-35% Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Hallingdal Valdres,ATV/snøscooterlån LO inntil 65%,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
Romsdal Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 SMN,Kaskofritt Caravanlån/Bobillån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
SpareBank 1 Finans Østlandet AS,Båt under 7 meter inntil 100%,11.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,100.0
Søgne og Greipstad Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Sparebank 68° Nord,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Lom og Skjåk,LO Favør kaskofritt lån ATV/Snøscooter,13.75,2400.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
SpareBank 1 Lom og Skjåk,Kaskofritt Caravanlån/Bobillån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Sparebanken Narvik,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Haugesund Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Sparebanken DIN Telemark,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Sparebanken Narvik,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Etnedal Sparebank,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Stadsbygd Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Voss Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Finans Midt-Norge AS,LO Favør kaskofritt lån ATV/Snøscooter,13.75,2400.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
SpareBank 1 Ringerike Hadeland,LOfavør Båt over 7 meter inntil 100%,9.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,100.0
SpareBank 1 Hallingdal Valdres,Kaskofritt Caravanlån/Bobillån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Strømmen Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Tolga-Os Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Askim og Spydeberg Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Østlandet,LOfavør Båt over 7 meter inntil 100%,9.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,100.0
SpareBank 1 Finans Midt-Norge AS,Kaskofritt Caravanlån/Bobillån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Storebrand Bank ASA,Forbrukslån,11.56,990.0,0.0,50.0,20000.0,400000.0,23,70,5,0.0
SpareBank 1 Gudbrandsdal,Kaskofritt Caravanlån/Bobillån,14.75,2700.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
SpareBank 1 Hallingdal Valdres,ATV/snøscooterlån LO inntil 80%,8.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
Nidaros Sparebank,Caravanlån 80 %,7.5,2500.0,0.0,95.0,50000.0,1000000.0,18,100,10,80.0
Selbu Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Finans Østlandet AS,LOfavør Båt over 7 meter inntil 100%,9.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,100.0
Valle Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Evje og Hornnes Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Fana Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Aasen Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Ringerike Hadeland,LOfavør Båt over 7 meter inntil 80%,8.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,80.0
Skagerrak Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Nordmøre,ATV/snøscooterlån LO inntil 80%,8.6,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,80.0
SpareBank 1 Finans Østlandet AS,LOfavør Båt over 7 meter inntil 80%,8.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,80.0
Selbu Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Askim og Spydeberg Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Østlandet,LOfavør Båt over 7 meter inntil 80%,8.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,80.0
SpareBank 1 Finans Østlandet AS,LOfavør Båt under 7 meter inntil 100%,11.65,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,100.0
SpareBank 1 SMN,ATV/snøscooterlån LO inntil 65%,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
SpareBank 1 Østlandet,Båt under 7 meter inntil 65%,9.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,65.0
Kredittbanken ASA - Del av SpareBank 1 og Eika,Agrikjøp Forbrukslån,13.7,990.0,0.0,40.0,0.0,300000.0,20,100,5,0.0
SpareBank 1 Gudbrandsdal,LO Favør kaskofritt lån ATV/Snøscooter,13.75,2400.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Rindal Sparebank,Eika Billån 35% Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Gudbrandsdal,ATV/snøscooterlån LO inntil 65%,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
Romerike Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Finans Østlandet AS,LOfavør Båt under 7 meter inntil 80%,10.65,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,80.0
SpareBank 1 Finans Østlandet AS,Båt under 7 meter inntil 65%,9.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,65.0
Kvinesdal Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Nordmøre,LO Favør kaskofritt lån ATV/Snøscooter,13.75,2400.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
SpareBank 1 Finans Østlandet AS,Båt under 7 meter inntil 80%,10.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,80.0
SpareBank 1 Ringerike Hadeland,LOfavør Båt under 7 meter inntil 65%,9.65,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,65.0
Marker & Eidsberg Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
Tysnes Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Østlandet,LOfavør Båt under 7 meter inntil 65%,9.65,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,65.0
Flekkefjord Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
Ørskog Sparebank,Grønt Billån under 20% Egenkapital,8.25,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
Sunndal Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
Flekkefjord Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
Vekselbanken,"Diverse forbruk privat, utan trygd",15.3,250.0,0.0,65.0,0.0,100000.0,18,100,5,0.0
SpareBank 1 Hallingdal Valdres,LO Favør kaskofritt lån ATV/Snøscooter,13.75,2400.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Lillesands Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 Finans Østlandet AS,LOfavør Båt under 7 meter inntil 65%,9.65,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,65.0
SpareBank 1 Lom og Skjåk,ATV/snøscooterlån LO inntil 65%,7.4,2690.0,0.0,95.0,30000.0,1000000000.0,18,100,5,65.0
Grue Sparebank,Grønt Billån 35% Egenkapital,6.65,2500.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Ringerike Hadeland,Båt under 7 meter inntil 100%,11.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,100.0
Skudenes & Aakra Sparebank,Grønt billån 80%,7.4,2000.0,0.0,85.0,50000.0,1000000.0,18,100,10,80.0
SpareBank 1 SMN,LO Favør kaskofritt lån ATV/Snøscooter,13.75,2400.0,0.0,95.0,30000.0,130000.0,18,100,5,100.0
Ørland Sparebank,Kaskofritt billån,13.3,1500.0,0.0,95.0,30000.0,150000.0,18,100,10,100.0
SpareBank 1 Sogn og Fjordane,Forbrukslån,19.45,1000.0,0.0,65.0,10000.0,100000.0,18,100,10,0.0
SpareBank 1 Helgeland,Billån inntil 100 %,8.6,2990.0,0.0,95.0,20000.0,1000000000.0,18,100,10,100.0
SpareBank 1 Hallingdal Valdres,Elbillån inntil 80%,7.6,2400.0,0.0,95.0,30000.0,1000000000.0,18,100,8,80.0
SpareBank 1 Nord-Norge,Billån inntil 100 %,8.6,2990.0,0.0,95.0,20000.0,1000000000.0,18,100,10,100.0
SpareBank 1 Gudbrandsdal,Elbillån inntil 65%,6.8,2400.0,0.0,95.0,30000.0,1000000000.0,18,100,8,65.0
Sparebank 1 Finans Nord-Norge AS,Billån inntil 100 %,8.6,2990.0,0.0,95.0,20000.0,1000000000.0,18,100,10,100.0
Bien Sparebank ASA,Eika Billån 20%-35% Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 Finans Midt-Norge AS,Elbillån inntil 80%,7.6,2400.0,0.0,95.0,30000.0,1000000000.0,18,100,8,80.0
Trøndelag Sparebank,Eika Caravanlån 35 % Egenkapital,6.85,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,65.0
SpareBank 1 Hallingdal Valdres,Elbillån inntil 65%,6.8,2400.0,0.0,95.0,30000.0,1000000000.0,18,100,8,65.0
SpareBank 1 Østlandet,LOfavør Båt under 7 meter inntil 80%,10.65,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,80.0
SpareBank 1 Østfold Akershus,LOfavør Båt over 7 meter inntil 100%,9.05,9995.0,0.0,95.0,100000.0,3000000.0,18,100,20,100.0
SpareBank 1 Østlandet,LOfavør Båt under 7 meter inntil 100%,11.65,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,100.0
Kraft Bank ASA,Refinansieringslån uten sikkerhet,13.45,0.0,0.0,75.0,30000.0,500000.0,18,100,10,0.0
SpareBank 1 Gudbrandsdal,18+ Start,13.25,800.0,0.0,50.0,5000.0,75000.0,18,34,5,0.0
Rogaland Sparebank,Eika Caravanlån med 20 % - 35 % Egenkapital,7.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,80.0
SpareBank 1 SMN,Elbillån inntil 65%,6.8,2400.0,0.0,95.0,30000.0,1000000000.0,18,100,8,65.0
JBF Bank og Forsikring,Eika Billån under 20% Egenkapital,8.55,3000.0,0.0,85.0,40000.0,1000000000.0,18,70,10,100.0
SpareBank 1 Finans Midt-Norge AS,Elbillån inntil 65%,6.8,2400.0,0.0,95.0,30000.0,1000000000.0,18,100,8,65.0
SpareBank 1 Østlandet,Båt under 7 meter inntil 80%,10.95,7995.0,0.0,95.0,50000.0,500000.0,18,100,7,80.0
Landkreditt Bank AS,Forbrukslån,14.05,500.0,0.0,30.0,0.0,65000.0,18,100,3,0.0
SpareBank 1 Nordmøre,Elbillån inntil 65%,6.8,2400.0,0.0,95.0,30000.0,1000000000.0,18,100,8,65.0
Sparebanken Møre,Båtlån under 7 meter,9.7,3950.0,0.0,95.0,1.0,1000000000.0,18,100,7,80.0
SpareBank 1 Finans Midt-Norge AS,Elbillån inntil 100%,8.5,2400.0,0.0,95.0,30000.0,1000000000.0,18,100,8,100.0
SpareBank 1 Nord-Norge,LOfavør Billån inntil 80%,7.4,2990.0,0.0,95.0,30000.0,1000000000.0,18,100,10,80.0
SpareBank 1 Helgeland,Billån inntil 80%,7.7,2990.0,0.0,95.0,20000.0,1000000000.0,18,100,10,80.0
