Bank,Nominell,Etabl.gebyr,Termingebyr,Depotgebyr,Maks belåningsgrad,Maks løpetid,Min Alder,Max Alder
Grue Sparebank,6.85,3000.0,0.0,0.0,60.0,30,18,100
SpareBank 1 Sør-Norg...,6.09,0.0,60.0,0,85.0,30,18,
DinBANK.no(Sparebank...,5.82,0.0,0.0,0.0,50.0,25,18,100
Haltdalen Sparebank,5.55,4000.0,60.0,0,85.0,35,18,33
DinBANK.no(Sparebank...,6.39,0.0,0.0,0.0,60.0,25,18,100
Soknedal Sparebank,5.9,5000.0,60.0,0,75.0,25,18,100
Birkenes Sparebank,5.4,2000.0,50.0,750.0,75.0,30,18,100
Rørosbanken Røros Sp...,6.95,2950.0,65.0,900.0,90.0,30,18,100
Haltdalen Sparebank,5.7,4000.0,75.0,0,60.0,30,18,100
Grue Sparebank,6.85,3000.0,50.0,0.0,60.0,30,18,100
Rindal Sparebank,6.35,3000.0,50.0,0.0,60.0,30,18,100
Soknedal Sparebank,5.7,3000.0,0.0,0,60.0,30,18,100
Birkenes Sparebank,6.05,2000.0,50.0,750.0,90.0,30,18,100
Rørosbanken Røros Sp...,5.7,2950.0,65.0,0,90.0,30,18,33
Haltdalen Sparebank,5.55,4000.0,60.0,0,85.0,35,18,33
Rindal Sparebank,5.75,3000.0,50.0,0.0,90.0,30,18,33
Birkenes Sparebank,5.9,2000.0,50.0,750.0,60.0,30,18,100
Birkenes Sparebank,5.5,2000.0,50.0,750.0,85.0,30,18,34
Rørosbanken Røros Sp...,5.49,2950.0,65.0,0.0,90.0,30,18,33
Haltdalen Sparebank,5.55,4000.0,60.0,0,85.0,35,34,100
Nidaros Sparebank,5.99,0,60.0,2000.0,90.0,30,18,100
DinBANK.no(Sparebank...,6.19,0.0,0.0,0.0,50.0,30,18,100
Valdres Sparebank,5.8,2000.0,50.0,750.0,90.0,30,18,100
Nidaros Sparebank,5.59,0,60.0,2000.0,90.0,30,18,33
OBOS-banken AS,5.05,2800.0,35.0,0,75.0,30,18,100
OBOS-banken AS,4.95,2800.0,35.0,0,75.0,30,18,100
DinBANK.no(Sparebank...,6.39,0.0,0.0,0.0,75.0,30,18,100
Marker & Eidsberg Sp...,5.8,2000.0,0.0,1000.0,60.0,25,18,100
"NORDEA BANK ABP, FIL...",5.09,3500.0,65.0,0,90.0,30,18,33
Marker & Eidsberg Sp...,5.49,2000.0,50.0,1000.0,90.0,30,18,100
"NORDEA BANK ABP, FIL...",5.14,3500.0,65.0,0,90.0,30,18,100
Nidaros Sparebank,5.39,0,60.0,2000.0,90.0,30,18,33
Marker & Eidsberg Sp...,5.65,2000.0,50.0,1000.0,60.0,25,18,100
"NORDEA BANK ABP, FIL...",5.09,3500.0,65.0,0,90.0,30,18,100
Marker & Eidsberg Sp...,5.7,2000.0,50.0,1000.0,90.0,30,18,100
SpareBank 1 SMN,6.34,2650.0,65.0,1200.0,75.0,30,18,100
Rindal Sparebank,5.25,3000.0,50.0,0.0,85.0,30,18,100
Marker & Eidsberg Sp...,8.95,3000.0,0.0,0.0,90.0,2,18,100
SpareBank 1 SMN,5.64,2650.0,65.0,1200.0,50.0,30,18,100
"NORDEA BANK ABP, FIL...",5.14,3500.0,65.0,0,90.0,30,18,33
Marker & Eidsberg Sp...,5.24,2000.0,50.0,1000.0,85.0,25,18,33
SpareBank 1 SMN,6.74,5000.0,0.0,1200.0,85.0,5,18,100
"NORDEA BANK ABP, FIL...",5.69,0.0,70.0,0.0,60.0,40,18,100
"NORDEA BANK ABP, FIL...",5.7,0.0,50.0,0.0,75.0,30,18,100
Rindal Sparebank,5.25,3000.0,50.0,0.0,90.0,30,18,33
